salary,job_info,enterprise_attr,job_exp,job_url,enterprise_industry,job_num,job_enterprise,download_timeout,depth,enterprise_scale,edu,date,download_latency,job_place,job_name,download_slot
4500-5999/月,数据挖掘业务规划经理负责根据业务需要，从事数据处理和数据分析相关的工作，如根据用户行为数据的分析，对现有业务改进及新业务规划提出决策支持；利用现有或可以取得的数据，提出新的业务模式，并能带领并推动相关数据挖掘项目的实施。职位申请者需要有专业的数据分析能力和方案解决能力，通过数据挖掘工作提出切实可行的改进建议或新业务解决方案。,民营公司,无工作经验,http://jobs.51job.com/fuzhou-csq/81849874.html?s=01&t=0,"计算机软件,计算机服务(系统、数据服务、维修)",招聘3人,北京科莱特信息技术有限公司,180.0,2,150-500人,大专,12-24,0.05365705490112305,福州-仓山区,数据挖掘专员（高薪 五险一金 双休）,jobs.51job.com
10000-14999/月,1、 应用先进的统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题；2、 负责对海量数据进行分析和挖掘，提取有价值的信息；3、 负责数据挖掘相关的算法、应用的设计与开发；4、 跟踪学习世界先进的建模和数据挖掘技术，与同事共享知识和经验；岗位要求：1、 数学、统计学相关专业毕业；2、 精通JAVA语言，熟悉Python脚本开发语言，熟悉Linux平台；3、 熟悉常用分布式计算框架，精通Spark/Hadoop等优先。,民营公司,1年经验,http://jobs.51job.com/hangzhou-gsq/73848767.html?s=01&t=0,"互联网/电子商务,计算机软件",招聘1人,浙江汇信科技有限公司,180.0,3,50-150人,大专,12-24,0.045288801193237305,杭州-拱墅区,数据挖掘工程师,jobs.51job.com
20000-30000/月,1.基于海量用户行为数据和其他数据，分析和研究数据与实际业务的关联关系，开发设计可扩展的机器学习算法，挖掘用户属性和行为特征，并以实际业务应用为导向；2.参与数据清洗和过滤、特征抽取、参数选择、算法实验、效果分析。3.整理并分析用户数据，撰写分析报告，从数据的角度给出运营建议4.业务的策略优化及算法研发，提供先进、适用的解决方案（模型）；任职资格：1.本科及以上学历，数学、统计或信息技术等专业方向；2.2年以上相关工作经验；3.有独立研究、实验的能力，对数据结构和算法设计有深入的理解4.数据挖掘算法扎实：熟悉机器学习基本理论，熟悉R，Python，Java等编程语言，熟悉常见数据挖掘及机器学习算法，如回归、分类、聚类等；,民营公司,3-4年经验,http://jobs.51job.com/guangzhou/81643115.html?s=01&t=0,计算机软件,招聘1人,广州市赛酷比软件有限公司,180.0,3,150-500人,大专,12-24,0.036650896072387695,广州,数据挖掘高级算法工程师,jobs.51job.com
10000-14999/月,"岗位职责：1、负责电信大数据分析,数据挖掘相关的算法、应用的设计与开发；2、负责电信大数据的整理、分析及提交数据报告，重点对电信用户行为数据进行分析和挖掘；3、对海量业务数据进行整合、分析挖掘，挖掘用户潜在信息，为营销、运营及决策提供业务分析及数据支持；4、负责项目中模型建立、模型跟踪、模型优化等闭环流程。任职要求：1、数学、统计学、计算机信息类等专业本科以上学历；2、具有较强的数据挖掘分析功底，对数字，数据敏感，具备良好的逻辑思维能力，能够从海量数据中发现有价值的规律；3、熟练掌握数据分析/挖掘方法及相关算法，熟悉数据结构，熟练使用SAS、SPSS、R等各类统计分析软件。熟悉Python，shell等脚本语言者优先；4、熟悉数据仓库，熟悉SQL语言和ETL相关流程；有Hadoop经验者优先、有数据库编程经验者优先；",民营公司,,http://jobs.51job.com/tianjin-xqq/76721848.html?s=01&t=0,电子技术/半导体/集成电路,招聘3人,天津普瑞智能科技有限公司,180.0,3,50-150人,大专,12-24,0.03559708595275879,天津-西青区,数据挖掘工程师,jobs.51job.com
12000-20000/月,,国企,1年经验,http://jobs.51job.com/shanghai/70526627.html?s=01&t=0,通信/电信/网络设备,招聘1人,上海电信恒联网络有限公司,180.0,3,50-150人,,12-24,0.0372920036315918,上海,数据挖掘工程师（自然语言处理）,jobs.51job.com
10000-14999/月,岗位职责：1、 负责或参与大数据分析数据库的设计与研发，维护相关设计文档；2、 负责数据频繁查询、慢查询设计，并持续优化性能；3、 负责或参与各类数据采集、清洗系统的设计与研发；4、 参与部分数据挖掘算法的实现。任职要求：1、本科及以上学历，计算机、通信、统计等相关专业；2、掌握主流数据库架构（Oracle），熟练使用SQL，有Hadoop平台实践经验者优先考虑；3、熟悉linux工作环境，熟练使用JAVA/shell/python等开发语言；4、有海量数据进行分析和挖掘的项目实施经验，能够根据需求设计合理的算法实现；5、有运营商、IDC、CDN等相关数据分析及挖掘工作经验者优先考虑；6、热爱数据相关工作，对数据敏感；7、有创新精神、主动思考和获取新知识，具有较强领悟力；8、认真严谨，喜欢钻研，具有较强的责任心。,民营公司,,http://jobs.51job.com/beijing/65535094.html?s=01&t=0,"计算机软件,电气/电力/水利",招聘2人,北京中恒博瑞数字电力科技有限公司,180.0,3,500-1000人,大专,12-24,0.034388065338134766,北京,大数据挖掘工程师,jobs.51job.com
8000-10000/月,岗位职责：1、负责爬虫架构设计和研发2、负责爬虫核心搜索策略、算法、数据聚类、重组的设计与开发3、负责网络爬虫或数据采集软件的优化改进以及采集规则编写4、解决封账号、封IP等采集难点攻克5、确保所负责的站点按周期采集及时，全面6、Office熟练操作，会SQL语言；会C+，PHP，JAVA或phython语言优先；7、1年以上互联网研究或线上资源收集经验；熟练使用一种以上网站数据抓取工具；8、懂火车头采集器以及类似抓取工具者优先。任职要求：1、本科以上学历，计算机/统计学/数学等相关专业，2年以上从业经验；2、了解大数据相关原理，能实现各种数据算法；3、扎实的编程基础，语言不限，熟悉Java、Python、Hadoop一种或多种开发技能；4、熟悉MySQL或oracle数据库开发；5、乐于面对挑战，积极创新，诚实、严谨。福利待遇：1、享受各种法定节假日；2、享受社会保险；3、员工养护自有车辆享受内部价；享受内部人才推荐重奖；4、获取行业最具竞争力的薪资待遇；5、享受员工年会及各项年度荣誉大奖；6、全体员工享受9条人才培养专线；7、享受每年14个月薪的待遇。,合资,3-4年经验,http://jobs.51job.com/guangzhou-hzq/77320706.html?s=01&t=0,汽车及零配件,招聘1人,广州市集群车宝汽车服务连锁有限公司,180.0,3,500-1000人,大专,12-24,0.04501700401306152,广州-海珠区,数据采集工程师/数据挖掘工程师,jobs.51job.com
10000-20000/月,岗位职责：1、海量用户画像的构建及不断优化；2、开发多种个性化算法（包括但不限于推荐系统、精准广告定向）；3、负责提供算法设计和代码文档，与架构师一起设计算法并行化实现。任职要求：1、计算机，机器学习，模式识别等相关专业，本科学历，硕士及以上优先；2、3年以上互联网公司数据挖掘/机器学习项目经验，有lead一个项目或者一个方向的经验，有较强的沟通能力和项目推动能力；3、有丰富的数据挖掘、机器学习（svm、神经网络、随机森林等）、分布式计算（eg. mapreduce、spark等）的实际工作经验；4、编程基础扎实，熟悉算法数据结构，有超过3年以上Java或Python开发经验；5、熟悉Hadoop、HBase、Hive、Storm、spark等大数据开发工具中一种或几种。,上市公司,3-4年经验,http://jobs.51job.com/wuhan/80055992.html?s=01&t=0,"互联网/电子商务,计算机软件",招聘1人,湖北盛天网络技术股份有限公司,180.0,3,150-500人,本科,12-24,0.03822898864746094,武汉,数据挖掘工程师,jobs.51job.com
20000-24999/月,"工作职责：1. 应用机器学习、文本挖掘，图挖掘等技术，对海量数据进行挖掘，发现其潜在关系，指导业务发展；2. 构建通用的分布式环境下算法实现；3. 和业务部门密切配合寻求数据层面的商业价值并组织建设相应的数据标签；4. 协助并指导新人完成相关数据挖掘项目。任职资格：1. 数学、统计、计算机等相关专业硕士及以上学历；2. 三年以上海量数据下机器学和算法实施相关工作经验；3. 对聚类、分类、矩阵计算原理其中之一理解透彻；4. 熟练掌握Php,Python,CC++中至少一种编程语言，熟悉LinuxUnix平台上的开发环境；5. 熟悉分布式系统（Hadoop, Spark）和算法设计，以及增量算法实施经验；6. 有金融行业、风险防控等领域经验的优先考虑",外资（欧美）,,http://jobs.51job.com/shanghai-ptq/84411072.html?s=01&t=0,互联网/电子商务,招聘若干人,北京小桔科技有限公司,180.0,3,5000-10000人,,12-24,0.04870796203613281,上海-普陀区,高级/资深数据挖掘专家-海浪事业部(J13749),jobs.51job.com
12000-20000/月,"岗位职责：1.设计和搭建自动化的数据挖掘平台；2.负责提供个性化的数据挖掘服务；3.利用爬虫程序爬取相关网站并整理数据，形成持续、有意义的数据池;4.对海量业务数据进行分析，深度挖掘用户行为特征，构建用户精准营销的指标体系；5.负责数据挖掘平台效果评估和优化；任职要求：1.统计、数学、计算机等相关专业本科以上学历；2.3年以上数据挖掘相关工作经验；3.熟练掌握Hadoop/Spark等大数据相关技术；4.熟悉使用编程语言C/C++, Java, Python, Perl，Scala 等；5.熟悉SQL Server/Postgre SQL/MySQL/Oracle/MongoDB查询分析数据；6.对数据仓库、数据挖掘理论和CRM理论有深刻理解；7.有耐心，对数据敏感，能发现/理解细微的变化代表的含义；8.有自动化性能测试工作经验优先拥有互联网金融产品开发相关经验优先 ；9.有动力和激情在初创公司的环境中发展；10.具备良好的英语水平，有金融数据库技术经验者优先;11.思路清晰，逻辑能力强，良好的敬业精神与团队精神；其他要求：1.本科毕业；2.2年以上互联网经验，大数据分析、产品开发、金融科技软件优先考虑；3.英语熟练优先考虑；职业发展方向：1.后台数据架构师2.员工期权汇报对象：产品总监（创始团队成员之一）福利待遇】1. 公司提供具有竞争性的无责任底薪+绩效奖金+激励奖金;2. 带薪系统的岗前培训和在职提升培训，完善的职业晋升通道；3. 严格按照国家规定购买五险一金；4. 公司实行5天8小时工作制，双休制无需加班；5. 公司会不定时举办员工聚餐旅游。公司地址：深圳南山区后海文心五路海岸大厦东座B区14楼特别声明：1.请求职人员认真阅读本公司招聘介绍，如本公司职位与您的职业规划相符。欢迎投递简历。2.简历投递完，公司会认真审阅筛选适合岗位要求的求职者，人事部会通过电话或者邮件方式邀约您前来公司面试，请留意近期的电话和邮箱。3.顺祝求职、面试顺利！",外资（非欧美）,3-4年经验,http://jobs.51job.com/shenzhen-nsq/84420801.html?s=01&t=0,金融/投资/证券,招聘1人,深圳前海永明峰科技有限公司,180.0,3,50-150人,本科,12-24,0.0312349796295166,深圳-南山区,高级数据挖掘工程师,jobs.51job.com
